id_original,nombre_referencia,total_docs,toxicidad_genetica,carcinogenesis,disrupcion_endocrina,toxicidad_metabolica,microbiota_gut_health,barrera_hematoencefalica,inmunotoxicidad_alergia,inflamacion_cronica,potencial_bioactivo,evidencia_clinica_humana,estudios_mecanisticos
110,Triphosphates,5890,366,833,173,20,3,12,20,30,133,111,2128
111,Pelargonidin,985,27,80,45,24,17,9,2,45,387,14,379
112,Vegetable carbon,917,8,161,43,23,3,4,13,12,24,165,66
113,Ponceau 6R,894,3,139,42,21,2,9,6,11,18,194,62
114,Litholrubine bk,610,5,105,31,21,1,5,9,9,18,137,44
115,Sodium orthophenyl phenol,500,4,104,32,9,1,6,5,6,10,115,35
116,Agar,96580,3388,13150,2552,215,389,212,671,1374,4057,3157,28714
117,Desconocido,606,1,188,26,8,0,2,12,5,16,113,25
118,Ethyl cellulose,2219,6,110,35,9,14,5,9,17,358,102,693
119,Triammonium citrate,360,4,78,20,12,1,4,3,8,9,83,39
120,potassium lactate,588,3,82,22,13,2,3,4,14,26,105,57
121,Boric acid,4105,93,299,91,25,11,25,29,82,305,214,595
122,Propane-1‚2-diol esters of fatty acids,249,4,46,10,10,0,2,5,4,6,51,22
123,Potassium gluconate,299,3,42,18,8,1,7,1,7,13,54,60
124,Calcium ferrocyanide,290,3,51,7,7,0,3,2,7,25,51,33
125,Azodicarbonamide,147,10,34,4,1,0,1,8,1,10,1,17
126,Potassium hydrogen sulphate,496,65,40,5,0,1,2,4,2,25,6,47
127,Sodium phosphates,574,5,81,23,12,4,2,7,9,24,128,46
128,Fatty acid methyl ester,1264,4,40,11,15,4,2,25,11,49,34,135
129,D-Maltitol,2,0,0,0,0,0,0,0,0,0,0,0
130,Hydrogen,200000,14609,49001,23055,3194,3331,4037,3598,10131,78499,13509,159771
131,Calcium disodium ethylenediaminetetraacetate,410,3,62,12,6,0,11,5,7,16,90,39
132,Ascorbyl stearate,20,2,9,3,0,0,0,1,0,16,0,9
133,Orcein,1402,37,263,46,24,2,7,8,20,48,177,211
134,Propyl para-hydroxybenzoate,555,2,93,24,15,1,13,8,9,14,122,41
135,L(+)-tartaric acid,730,4,83,25,14,3,8,9,12,33,105,85
136,Potassium silicate,332,2,40,17,8,1,5,3,7,32,60,35
137,Biphenyl,34810,1021,4947,2934,681,101,508,245,1162,9850,3386,9487
138,Azodicarbonamide and Carbamide,101,0,19,4,4,3,2,2,4,7,27,9
139,concentrated tocopherol,8783,400,1133,403,194,49,116,52,365,7640,1199,2143
140,Cellulose,114580,885,5917,2868,539,1024,156,861,1127,6881,2321,20877
141,Rebaudioside from multiple gene donors expressed in Yarrowia lipolityca,0,0,0,0,0,0,0,0,0,0,0,0
142,Propane,11042,397,1243,504,32,32,84,80,172,760,215,2121
143,Plant carotenes,27245,583,1479,725,365,92,87,715,317,13328,1104,12123
144,Disodium inosinate,245,1,49,15,5,0,1,0,6,8,59,26
145,Mineral oil medium viscosity,30,0,3,0,0,0,0,1,1,5,3,5
146,Sodium propyl para-hydroxybenzoate,744,7,122,91,16,0,7,11,14,36,129,82
147,Chlorine dioxide,2143,95,151,42,4,6,9,16,14,88,128,202
148,Dimethyl dicarbonate,1248,11,94,18,18,1,2,10,7,40,103,87
149,Calcium hydrogen malate,133,1,5,5,3,0,1,1,0,19,1,35
150,Processed eucheuma seaweed,16,2,3,0,1,1,0,0,1,0,1,3
151,Acetylated distarch phosphate,200000,101817,200000,200000,60167,8888,47276,36702,158889,200000,200000,200000
152,Calcium sorbate,701,9,138,30,24,2,6,5,10,15,137,58
153,Sodium sulphite,740,10,118,33,14,3,11,12,6,41,128,61
154,Talc,3967,26,1262,202,18,1,6,69,83,165,656,224
155,Propylene Glycol,8778,196,518,272,56,84,70,260,170,1299,466,2331
156,isomalt,239,1,15,15,5,4,4,0,3,17,52,27
157,Anionic methacrylate copolymer,54,3,7,1,1,0,1,0,1,2,12,11
